"visit_date","visitors_count","utm_source","utm_medium","utm_campaign","total_cost","leads_count","purchases_count","revenue"
2023-06-01,103,yandex,cpc,freemium,2230362,103,25,1654810
2023-06-01,80,vk,cpc,freemium-frontend,252800,43,5,338083
2023-06-01,78,yandex,cpc,prof-frontend,4456764,78,12,1057000
2023-06-01,71,vk,cpc,prof-python,143988,40,5,355564
2023-06-01,66,admitad,cpa,admitad,0,0,0,0
2023-06-01,62,yandex,cpc,prof-python,2047612,62,7,613196
2023-06-01,58,vk,cpc,base-python,147146,36,1,9072
2023-06-01,51,vk,cpc,prof-java,158865,23,2,232726
2023-06-01,49,vk,cpc,prof-data-analytics,52528,30,0,0
2023-06-01,49,yandex,cpc,prof-java,1445010,49,4,284590
2023-06-01,44,vk,cpc,freemium-python,43120,25,1,1560
2023-06-01,42,vk,cpc,freemium-java,20454,24,0,0
2023-06-01,40,yandex,cpc,base-frontend,722440,40,3,268515
2023-06-01,38,telegram,cpp,base-python,0,0,0,0
2023-06-01,33,telegram,cpp,base-java,0,0,0,0
